Name,dt,Inf x1,L2 x1,FT x1,inf x5,L2 x5,FT x5,Inf x16,L2 x16,FT x16,Inf Q1,L2 Q1,FT Q1,inf Q3,L2 Q3,FT Q3,Inf Q5,L2 Q5,FT Q5,Inf E,L2 E,FT E
Euler,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Euler,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Euler,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Euler,0.0625,1.30894517761345,0.794397630863967,1.40622515936991,1.30931887886264,0.79438734801199,1.40591123364071,1.31273139731856,0.794347750300547,1.40339927351885,1.31354192369634,0.794347710038736,1.40328711117816,3.64034742451897,2.97859433964169,0.772633383280493,7.54798060579311,7.37478916166348,1.8723436697208,0.030652891849632,0.0210637174802808,0.0199167643241127
Euler,0.03125,0.368166196537798,0.214847894758317,0.255905044563435,0.367660206123365,0.214834473503857,0.256452861399795,0.363620597739308,0.21478240564034,0.260755250590019,0.363499029866456,0.214782319695331,0.260995260753226,1.54831034222566,1.3311053529532,1.01118625536387,1.99259666304817,1.8654042710868,1.06501764421176,0.0150943132184418,0.0105185374341978,0.0144969125683196
Euler,0.015625,0.0960329986146975,0.0571859954327876,0.0527303006446204,0.0959118829985609,0.0571815551487278,0.0531110724145777,0.0950667352270352,0.0571642693584754,0.0561137000935848,0.0950490602248923,0.0571642338186216,0.0562857380706113,0.587809925401992,0.449866508934936,0.681944198275683,0.905707324492786,0.638802964880074,0.471796112775983,0.00749057033290845,0.00525748301476836,0.00682282104585852
Euler,0.0078125,0.0257683018726098,0.0159867187973208,0.0133763921368311,0.0257487815156443,0.0159856379788267,0.0134752327299526,0.0256282123598826,0.0159814220785808,0.0142562709891659,0.0256286990565677,0.0159814124802626,0.0143016178376602,0.158243293901925,0.119693274072104,0.343625356245787,0.238645237993648,0.170229262860925,0.110039068223788,0.00373127459156164,0.00262851689514363,0.00320374995317207
Leapfrog,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Leapfrog,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Leapfrog,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Leapfrog,0.0625,1.26460898202439,0.748596697035343,1.34147906772714,1.26496534809483,0.748586213331456,1.3412370269251,1.26746482822029,0.748545881859584,1.33929340748337,1.26789007058034,0.748545845489252,1.33920721098257,3.60069784592097,2.94189704882075,1.1973756388749,7.60584210809253,7.43748565723618,1.90411343341263,0.0306528918496916,0.0210636586293745,0.0170657464836799
Leapfrog,0.03125,0.339055109003541,0.189299672008426,0.230407514764214,0.338520433615578,0.189285236308601,0.230959868279515,0.334359472300163,0.18922920807687,0.235298654108532,0.334217215531488,0.189229113077219,0.235540975740222,1.50000920474138,1.28559904789686,0.913985944046061,1.98480730842485,1.80894185872312,1.09003924738555,0.0150943132184447,0.0105185062153888,0.0145979128905555
Leapfrog,0.015625,0.0812246737918638,0.044352865566876,0.0435556165184164,0.0810970167721885,0.044347860511076,0.0439143387896218,0.0802154314611927,0.04432836540065,0.0467425910067447,0.0801956166166565,0.0443283243061876,0.0469044543266182,0.55283655533764,0.418251038765686,0.597405701102362,0.839470559439598,0.581216361437176,0.433693551820111,0.00749057033293243,0.00525747609740566,0.00673590972186267
Leapfrog,0.0078125,0.0183663261559584,0.00962284153534529,0.00926775900588987,0.0183430050713719,0.0096214759606202,0.0093550451890398,0.0181951089840976,0.00961614589109914,0.0100445766674227,0.0181945738222003,0.00961613347137556,0.0100845353637928,0.144488235252027,0.103573766865058,0.284965591063408,0.202762293444535,0.140630537053935,0.103392931570678,0.00373127459241274,0.00262851536980909,0.00317572560469703
Nystrom,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nystrom,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nystrom,0.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nystrom,0.0625,0.00845967776401808,0.00458587732066205,0.00326961807565107,0.00837761434589224,0.00457920816851789,0.00338173357546509,0.00795632194160986,0.00455300538543536,0.00415342242872805,0.00787899257784976,0.00455218300438057,0.00426850435058656,0.308807379766783,0.22454140072808,1.01540901656725,0.415660289605684,0.255816531102124,0.0814120073779877,9.54507131667448e-07,5.90053392533423e-07,3.07809837063466e-07
